bib	birthday	birthmonth	birthyear
302	6	JAN	1979
304	18	NOV	1980
308	28	MAY	1987
311	19	MAR	1982
312	30	NOV	1977
323	1	MAR	1989
342	15	AUG	1987
343	16	JAN	1979
349	15	OCT	1979
376	1	AUG	1973
378	19	FEB	1983
379	16	JUN	1988
383	21	JUN	1981
388	10	FEB	1984
390	4	NOV	1982
397	14	APR	1989
408	20	AUG	1983
416	22	JUL	1981
424	5	FEB	1978
433	12	OCT	1980
446	12	JUL	1989
447	21	MAY	1990
452	20	MAY	1984
460	24	MAY	1994
464	6	JUN	1972
473	9	JAN	1977
482	11	APR	1984
509	4	JAN	1976
510	26	FEB	1980
517	12	FEB	1994
534	5	JAN	1991
545	29	MAR	1978
547	3	JUL	1989
553	9	MAY	1989
563	14	MAR	1989
567	23	SEP	1976
570	15	OCT	1985
599	6	FEB	1986
600	29	DEC	1987
601	8	SEP	1977
609	25	JUL	1975
610	8	DEC	1982
612	23	JAN	1983
615	29	DEC	1978
616	1	JUL	1978
620	19	DEC	1982
629	3	FEB	1981
633	14	OCT	1985
634	14	OCT	1985
635	14	OCT	1985
644	20	OCT	1989
651	25	NOV	1984
652	26	JAN	1987
656	15	AUG	1978
670	5	DEC	1974
700	24	SEP	1978
722	16	MAY	1979
748	20	NOV	1989
749	20	NOV	1989
778	12	APR	1986
803	16	MAY	1989
804	18	JUL	1988
807	3	APR	1991
815	20	FEB	1988
816	10	DEC	1987
819	17	DEC	1982
821	8	FEB	1989
835	23	MAY	1983
836	5	MAY	1985
840	1	FEB	1978
843	22	MAY	1980
845	24	SEP	1984
853	12	DEC	1988
854	13	AUG	1990
857	6	MAY	1972
865	19	JAN	1980
874	5	APR	1976
913	25	MAR	1982
915	23	MAY	1984
923	25	JAN	1988
937	21	JUL	1980
940	30	NOV	1991
948	30	DEC	1989
949	7	APR	1985
958	21	DEC	1984
960	7	MAR	1984
961	10	MAY	1990
963	29	JUN	1989
965	29	MAY	1992
966	16	NOV	1982
969	27	AUG	1992
971	19	SEP	1980
974	5	APR	1986
978	21	SEP	1976
983	4	OCT	1984
985	20	MAR	1981
986	7	AUG	1980
989	13	JAN	1988
994	10	OCT	1989
1000	21	SEP	1988
1001	29	MAR	1989
1009	3	DEC	1985
1010	2	FEB	1980
1013	10	OCT	1993
1014	13	JUL	1982
1019	26	MAR	1984
1023	10	DEC	1983
1024	13	AUG	1980
1025	11	MAR	1980
1030	6	MAR	1985
1082	26	DEC	1982
1083	12	JUL	1992
1084	30	AUG	1986
1085	30	SEP	1985
1087	13	JUL	1989
1088	26	OCT	1992
1108	7	APR	1985
1109	19	FEB	1985
1115	15	MAY	1980
1124	8	NOV	1981
1129	23	OCT	1982
1131	17	OCT	1985
1137	9	MAR	1993
1138	9	MAR	1993
1139	9	DEC	1988
1145	24	AUG	1987
1153	18	SEP	1980
1161	9	JUN	1985
1164	10	FEB	1986
1167	9	DEC	1983
1172	5	JUL	1987
1175	25	DEC	1982
1179	20	MAY	1985
1183	2	JUL	1984
1191	24	JUL	1977
1197	17	MAR	1982
1210	13	FEB	1980
1216	10	OCT	1987
1234	30	DEC	1987
1237	12	JUN	1979
1238	7	JAN	1984
1243	16	JAN	1993
1244	25	NOV	1987
1256	1	JAN	1992
1259	24	APR	1990
1261	23	MAY	1987
1268	2	JUL	1986
1286	5	DEC	1983
1288	27	DEC	1982
1308	13	MAY	1976
1333	21	JAN	1984
1340	8	JUL	1981
1352	26	JUL	1983
1387	12	MAY	1989
1388	30	JUL	1990
1397	14	NOV	1985
1405	11	NOV	1988

