"LANE","BIB","ATHLETE","COUNTRY","TWINS","SB","PB","SPLIT_5K","SPLIT_10K","SPLIT_15K","SPLIT_20K","SPLIT_HALF","SPLIT_25K","SPLIT_30K","SPLIT_35K","SPLIT_40K","FINAL"
1,644,"Mare Dibaba","ETH",NA,8649,8392,1043,2062,3103,4147,4377,5167,6201,7231,8225,8670
2,416,"Adriana Aparecida da Silva","BRA",NA,9083,8957,1060,2145,3262,4377,4631,5529,6679,7934,9265,9802
3,1124,"Jessica Augusto","POR",NA,8933,8665,1047,2078,3138,NA,NA,NA,NA,NA,NA,NA
4,1340,"Shalane Flanagan","USA",NA,8959,8474,1047,2064,3107,4148,4377,5168,6202,7232,8271,8726
5,616,"Alessandra Aguilar","ESP",NA,NA,8820,1056,2108,3196,4271,4516,5378,NA,NA,NA,NA
6,958,"Jemima Jelagat Sumgong","KEN",NA,8578,8448,1044,2063,3104,4147,4377,5167,6201,7232,8222,8644
7,517,"Shaoqing Hua","CHN",NA,8955,8955,1050,2110,3211,4377,4648,5597,6877,8139,9378,9909
8,949,"Helah Jelagat Kiprop","KEN",NA,8487,8487,1044,2063,3104,4147,4377,5168,6242,7535,NA,NA
9,1333,"Amy Cragg","USA",NA,8900,8823,1047,2065,3106,4149,4378,5168,6226,7352,8464,8905
10,913,"Kayoko Fukushi","JPN",NA,8537,8537,1048,2070,3105,4149,4383,5238,6330,7411,8532,8993
11,874,"Valeria Straneo","ITA",NA,9590,8624,1045,2070,3120,4178,4419,5264,6323,7411,8524,8984
12,778,"Anja Scherl","GER",NA,8870,8870,1086,2171,3292,4382,4626,5487,6581,7758,8953,9443
13,652,"Tigist Tufa","ETH",NA,8583,8512,1043,2062,3104,NA,NA,NA,NA,NA,NA,NA
14,923,"Tomomi Tanaka","JPN",NA,8599,8599,1046,2069,3107,4155,4394,5234,6316,7449,8601,9072
15,1131,"Sara Moreira","POR",NA,NA,8689,1047,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,452,"Eunice Jepkirui Kirwa","BRN",NA,8560,8501,1044,2063,3104,4147,4377,5167,6201,7232,8222,8653
17,815,"Kit-Ching Yiu","HKG",NA,9518,9504,1093,2181,3304,4422,4680,5544,6651,7780,8903,9371
18,1352,"Desireé Linden","USA",NA,8934,8755,1048,2065,3107,4149,4382,5198,6214,7262,8321,8768
19,971,"Ariana Kira Hilborna","LAT",NA,9632,9321,1153,2274,3431,4568,4828,5746,6988,8361,9699,10251
20,748,"Anna Hahner","GER","Hahner twins",9035,8804,1093,2208,3393,4561,4828,5744,6942,8172,9412,9932
21,836,"Kavita Tungar","IND",NA,9518,9518,1113,2250,3455,4688,4973,6007,7344,8738,10180,10769
22,1115,"Monika Stefanowicz","POL",NA,8906,8906,1060,2118,3199,4272,4516,5359,6440,7548,8692,9169
23,302,"Souad Aït Salem","ALG",NA,NA,8708,1046,2073,3197,4272,4521,5441,NA,NA,NA,NA
24,937,"Irina Smolnikova","KAZ",NA,10500,9622,1192,2405,3623,4817,5092,6085,7387,8776,10235,10831
25,447,"Shitaye Eshete","BRN",NA,8736,8736,1045,2070,3155,NA,NA,NA,NA,NA,NA,NA
26,408,"Rosemary Quispe","BOL",NA,9827,9827,1217,2425,3661,4869,5144,6125,7394,8744,10143,10712
27,854,"Maor Tiyouri","ISR",NA,9742,9742,1148,2291,3465,4620,4879,5797,6981,8215,9507,10047
